 Zkm Lat   rhokgm3      pNm2     TK     Zeta    RJkgK
  68  85  8.812E-02  4.116E+03  244.2   .9996  191.40
  70  85  6.094E-02  2.839E+03  243.5   .9997  191.40
  72  85  4.230E-02  1.954E+03  241.5   .9998  191.40
  74  85  2.920E-02  1.342E+03  240.2   .9999  191.40
  76  85  2.040E-02  9.172E+02  235.0  1.0000  191.40
  78  85  1.438E-02  6.192E+02  225.0  1.0000  191.40
  80  85  1.002E-02  4.103E+02  213.9  1.0000  191.40
  82  85  6.765E-03  2.670E+02  206.2  1.0000  191.40
  84  85  4.498E-03  1.710E+02  198.6  1.0000  191.42
  86  85  2.940E-03  1.077E+02  191.4  1.0000  191.46
  88  85  1.874E-03  6.686E+01  186.3  1.0000  191.53
  90  85  1.180E-03  4.099E+01  181.3  1.0000  191.57
  92  85  7.302E-04  2.484E+01  177.5  1.0000  191.66
  94  85  4.477E-04  1.490E+01  173.5  1.0000  191.80
  96  85  2.708E-04  8.845E+00  170.2  1.0000  191.93
  98  85  1.618E-04  5.207E+00  167.6  1.0000  192.06
 100  85  9.545E-05  3.048E+00  166.1  1.0000  192.24
